,IMDB,Metascore,Name,Votes,Year
0,8.5,59.0,Joker,772481,2019
1,8.4,78.0,Avengers: Endgame,707768,2019
2,7.7,83.0,Once Upon a Time... in Hollywood,453392,2019
3,6.9,64.0,Captain Marvel,408735,2019
4,8.6,96.0,Gisaengchung,388902,2019
5,6.7,53.0,Star Wars: Episode IX - The Rise of Skywalker,309074,2019
6,8.3,78.0,1917,295410,2019
7,7.9,82.0,Knives Out,288552,2019
8,7.5,69.0,Spider-Man: Far from Home,285903,2019
9,7.9,94.0,The Irishman,283486,2019
10,7.5,73.0,John Wick: Chapter 3 - Parabellum,242343,2019
11,7.1,71.0,Shazam!,227973,2019
12,8.0,94.0,Marriage Story,208092,2019
13,8.1,81.0,Ford v. Ferrari,207671,2019
14,7.3,53.0,Alita: Battle Angel,204206,2019
15,7.9,58.0,Jojo Rabbit,204004,2019
16,7.0,53.0,Aladdin,202995,2019
17,6.9,81.0,Us,196596,2019
18,6.7,43.0,Glass,189665,2019
19,6.9,55.0,The Lion King,187974,2019
20,7.8,84.0,Toy Story 4,176465,2019
21,6.6,58.0,It Chapter Two,173227,2019
22,6.6,80.0,Ad Astra,161088,2019
23,7.4,72.0,El Camino: A Breaking Bad Movie,160896,2019
24,7.5,90.0,Uncut Gems,156981,2019
25,6.5,60.0,Fast & Furious Presents: Hobbs & Shaw,147344,2019
26,7.1,72.0,Midsommar,147172,2019
27,6.7,58.0,Jumanji: The Next Level,139079,2019
28,5.8,43.0,Dark Phoenix,136353,2019
29,6.6,53.0,Pokémon Detective Pikachu,123625,2019
30,7.9,51.0,The Gentlemen,121351,2019
31,6.1,48.0,Godzilla: King of the Monsters,118236,2019
32,6.1,41.0,6 Underground,117717,2019
33,6.3,54.0,Terminator: Dark Fate,117464,2019
34,7.3,69.0,Rocketman,110591,2019
35,7.0,73.0,El hoyo,108583,2019
36,6.8,55.0,Zombieland: Double Tap,105810,2019
37,7.0,64.0,Frozen 2,105600,2019
38,6.2,60.0,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,102292,2020
39,7.4,59.0,Doctor Sleep,99495,2019
40,7.9,91.0,Little Women,98730,2019
41,7.6,83.0,The Lighthouse,98133,2019
42,6.4,61.0,Triple Frontier,95822,2019
43,5.7,38.0,Men in Black: International,95521,2019
44,6.8,55.0,Yesterday,93031,2019
45,7.5,71.0,How to Train Your Dragon: The Hidden World,91832,2019
46,7.6,75.0,The Two Popes,89581,2019
47,7.2,72.0,The Invisible Man,88246,2020
48,6.0,38.0,Murder Mystery,87747,2019
49,6.7,59.0,Bad Boys for Life,83825,2020
50,6.8,67.0,Long Shot,80457,2019
51,6.8,64.0,Ready or Not,76441,2019
52,6.8,56.0,Extraction,75488,2020
53,7.2,84.0,Booksmart,74678,2019
54,6.3,48.0,Escape Room,72809,2019
55,5.7,57.0,Pet Sematary,72497,2019
56,7.3,62.0,The King,71351,2019
57,5.2,31.0,Hellboy,70744,2019
58,6.1,44.0,Brightburn,68933,2019
59,6.6,52.0,"Extremely Wicked, Shockingly Evil and Vile",68210,2019
60,6.3,19.0,Polar,67641,2019
61,8.2,65.0,Klaus,67045,2019
62,6.2,26.0,Rambo: Last Blood,66102,2019
63,6.3,79.0,Hustlers,65341,2019
64,6.7,64.0,I Am Mother,64672,2019
65,6.9,58.0,The Highwaymen,64379,2019
66,6.4,45.0,Angel Has Fallen,64219,2019
67,6.7,43.0,Maleficent: Mistress of Evil,64168,2019
68,5.7,38.0,Gemini Man,62681,2019
69,6.3,51.0,Dumbo,59304,2019
70,7.1,68.0,Fighting with My Family,57719,2019
71,5.9,60.0,Isn't It Romantic,57312,2019
72,6.8,64.0,Bombshell,56206,2019
73,6.6,47.0,Sonic the Hedgehog,54544,2020
74,6.2,60.0,Crawl,52189,2019
75,7.5,61.0,Onward,51104,2020
76,6.2,57.0,Cold Pursuit,50759,2019
77,6.2,49.0,Spenser Confidential,50345,2020
78,5.7,61.0,Velvet Buzzsaw,49399,2019
79,5.9,53.0,Annabelle Comes Home,48972,2019
80,6.2,57.0,Happy Death Day 2U,48909,2019
81,6.6,65.0,The LEGO Movie 2: The Second Part,48666,2019
82,6.7,60.0,Good Boys,48162,2019
83,6.2,61.0,Scary Stories to Tell in the Dark,47838,2019
84,6.6,40.0,Anna,47418,2019
85,6.0,54.0,Captive State,44318,2019
86,7.3,76.0,Dolemite Is My Name,44233,2019
87,6.7,47.0,Midway,43930,2019
88,6.4,36.0,Fractured,43741,2019
89,6.5,55.0,The Secret Life of Pets 2,42434,2019
90,5.5,53.0,The Dead Don't Die,41349,2019
91,6.8,64.0,Always Be My Maybe,40304,2019
92,7.6,70.0,The Peanut Butter Falcon,40086,2019
93,7.6,87.0,Dolor y gloria,39718,2019
94,4.6,52.0,Charlie's Angels,39550,2019
95,7.3,80.0,A Beautiful Day in the Neighborhood,39548,2019
96,6.4,40.0,Shaft,39116,2019
97,5.4,46.0,In the Tall Grass,38723,2019
98,5.4,35.0,The Hustle,38135,2019
99,7.6,89.0,The Farewell,37645,2019
100,6.3,57.0,The Laundromat,37126,2019
101,5.8,48.0,Child's Play,37013,2019
102,7.5,68.0,Richard Jewell,36777,2019
103,7.0,39.0,The Dirt,34979,2019
104,5.9,48.0,Underwater,34734,2020
105,8.2,95.0,Portrait de la jeune fille en feu,34310,2019
106,7.6,73.0,Dark Waters,33856,2019
107,7.2,53.0,Five Feet Apart,33419,2019
108,6.5,50.0,Last Christmas,33210,2019
109,6.2,48.0,In the Shadow of the Moon,33172,2019
110,5.7,44.0,Bloodshot,33169,2020
111,7.2,75.0,Fyre,32980,2019
112,5.3,25.0,The Silence,32501,2019
113,5.3,41.0,The Curse of la Llorona,32237,2019
114,2.7,32.0,Cats,32089,2019
115,5.6,53.0,Ma,31987,2019
116,6.2,42.0,Stuber,31879,2019
117,5.3,37.0,Serenity,31167,2019
118,7.4,64.0,Downton Abbey,30971,2019
119,5.6,26.0,Dolittle,30792,2020
120,6.4,50.0,The Hunt,29938,2020
121,6.9,66.0,Judy,29746,2019
122,4.7,40.0,IO,28657,2019
123,6.8,60.0,Motherless Brooklyn,28206,2019
124,6.6,51.0,21 Bridges,27275,2019
125,5.4,30.0,After,27033,2019
126,8.2,65.0,Gully Boy,26588,2019
127,6.8,48.0,Tolkien,26332,2019
128,7.3,25.0,The Professor and the Madman,25677,2019
129,8.1,69.0,Togo,25381,2019
130,7.2,66.0,The Report,24227,2019
131,6.0,57.0,Liu lang di qiu,24037,2019
132,7.5,68.0,Just Mercy,23734,2019
133,6.1,48.0,Code 8,23440,2019
134,6.1,59.0,Between Two Ferns: The Movie,23088,2019
135,7.0,61.0,Abominable,22071,2019
136,6.7,65.0,The Art of Self-Defense,21681,2019
137,6.5,70.0,Late Night,21620,2019
138,6.8,54.0,Spies in Disguise,21468,2019
139,6.6,60.0,The Aeronauts,20623,2019
140,5.8,45.0,The Prodigy,20567,2019
141,7.6,80.0,J'ai perdu mon corps,20548,2019
142,7.6,68.0,The Boy Who Harnessed the Wind,20311,2019
143,6.3,42.0,Guns Akimbo,19797,2019
144,5.8,46.0,The Addams Family,19589,2019
145,6.6,48.0,A Rainy Day in New York,19438,2019
146,7.3,63.0,Official Secrets,19370,2019
147,5.7,51.0,Close,18836,2019
148,6.8,47.0,The Call of the Wild,18285,2020
149,6.7,68.0,Missing Link,18098,2019
150,5.2,49.0,What Men Want,17954,2019
151,8.2,88.0,Apollo 11,17890,2019
152,6.0,63.0,Dora and the Lost City of Gold,17784,2019
153,7.5,43.0,The Art of Racing in the Rain,17472,2019
154,6.0,54.0,To All the Boys: P.S. I Still Love You,17016,2020
155,5.4,31.0,Countdown,16905,2019
156,6.2,70.0,Color Out of Space,16897,2019
157,7.3,73.0,Honey Boy,16866,2019
158,6.4,60.0,The Angry Birds Movie 2,16736,2019
159,5.4,56.0,Wine Country,16639,2019
160,7.0,67.0,The Great Hack,16510,2019
161,5.5,55.0,The Beach Bum,15550,2019
162,5.8,64.0,Vivarium,15535,2019
163,5.0,43.0,47 Meters Down: Uncaged,15433,2019
